@RELATION	liability
@ATTRIBUTE	manufacturer_name	{'MEDTRONIC-PUERTO-RICO-OPERATIONS-CO.','LIFESCAN-INC.','ABBOTT-DIABETES-CARE-INC.','HILL-ROM-RITTER','ANIMAS-CORP.','BIOTRONIK-SE-&-CO.-KG','ELI-LILLY-AND-CO.','DEPUY-INTERNATIONAL','SORIN-CRM-S.R.L.','ETHICON-ENDO-SURGERY-INC.(CINCINNATI)','CARDIAC-PACEMAKERS','BOSTON-SCIENTIFIC---SPENCER','BAXTER-HEALTHCARE---SINGAPORE','TERUMO-CARDIOVASCULAR-SYSTEMS-CORP.','CARL-ZEISS-SURGICAL-GMBH','HILL-ROM-INC','IMPACT-INSTRUMENTATION-INC.','ZOLL-MEDICAL-CORPORATION','MPROC-VILLALBA','BIOENTERICS-CORP','INVACARE-TAYLOR-STREET','MEDTRONIC-PUERTO-RICO-INC.','MEDTRONIC-MED-REL-INC.','COOK-INC.','BIOHORIZONS-IMPLANT-SYSTEMS-INC.','GUIDANT-CRM-CLONMEL-IRELAND','ALCON-PRECISION-DEVICE---SINKING-SPRING','STRYKER-OSTEOSYNTHESIS-SELZACH','ABBOTT-DIABETES-CARE-INC-USA','DISETRONIC-MEDICAL-SYSTEMS-INC.','BOSTON-SCIENTIFIC','IDEV-TECHNOLOGIES-INC.','ABBOTT-DIABETES-CARE-INC.-USA','ROCHE-DIAGNOSTICS','BOSTON-SCIENTIFIC---MARLBOROUGH','BAXTER-HEALTHCARE---MOUNTAIN-HOME','ANIMAS-CORPORATION','BOSTON-SCIENTIFIC---MAPLE-GROVE','PHILIPS-MEDICAL-SYSTEMS','STERIS-CORPORATION---MONTGOMERY','COOK-BIOTECH-INC.','CPI---DEL-CARIBE','ST-JUDE-MEDICAL-CARDIAC-RHYTHM-MANAGEMENT-DIVISION','MEDTRONIC-NEUROMODULATION','GE-OEC-MEDICAL-SYSTEMS-(SLC)','IMMUCOR','STRYKER-SPINE-BORDEAUX','ETHICON-INC.','CYBERONICS-INC.','CARDIAC-PACEMAKERS-INC','W.L.-GORE-&-ASSOCIATES','ETHICON-ENDO-SURGERY-LLC.','BECKMAN-COULTER-INC.','MEDTRONIC-MINIMED','WELCH-ALLYN-PROTOCOL-INC.','HOSPIRA-INC.','CODMAN-AND-SHURTLEFF-INC','ROCHE-DIAGNOSTICS-CORP.','LIFESCAN-EUROPE-A-DIVISION-OF-CILAG-GMBH-INTL','MEDTRONIC-PUERTO-RICO-OPERATIONS-MED-REL','PHYSIO-CONTROL-INC.','ALCON---IRVINE-TECHNOLOGY-CENTER','NXSTAGE-MEDICAL-INC.','AMS-INNOVATION-CENTER','VASCULAR-SOLUTIONS-INC.','ORTHO-CLINICAL-DIAGNOSTICS-INC.','USSC-PUERTO-RICO','8010379-DEPUY-INTERNATIONAL','IMMUCOR-INC.','GE-OEC-MEDICAL-SYSTEMS-INC.','ETHICON-ENDO-SURGERY-INC-(CINCINNATI)','CONMED-LINVATEC','EV3-NEUROVASCULAR','EDWARDS-LIFESCIENCES-PR','EDWARDS-LIFESCIENCES','MEDTRONIC-INC.','BAXTER-HEALTHCARE---LARGO','ST.-JUDE-MEDICAL','GE-OEC-MEDICAL-SYSTEMS-GMBH','BAXTER-HEALTHCARE---CLEVELAND','CORDIS-DE-MEXICO','ST.-JUDE-MEDICAL---NEUROMODULATION','MEDTRONIC-MED-REL-MEDTRONIC-PUERTO-RICO','OLYMPUS-MEDICAL-SYSTEMS-CORPORATION','CARDIAC-PACEMAKERS-INC.','AV-TEMECULA-CT','COCHLEAR-LTD.','ABBOTT-VASCULAR-CARDIAC-THERAPIES','SORIN-CRM','BAXTER-HEALTHCARE-CORP','NELLCOR-PURITAN-BENNETT','ATHLONE','MEDTRONIC-S.A.','THE-ANSPACH-EFFORT-INC.','FISHER-&-PAYKEL-HEALTHCARE-LTD.','ETHICON-ENDO-SURGERY-LLC','SYNTHES-GMBH','POPULAR-PLASTICS','ETHICON-ENDO-SURGERY-INC.-(CINCINNATI)','STRYKER-MEDICAL','DEPUY-ORTHOPAEDICS-INC.','MEDTRONIC-INC.-NEUROLOGICAL-DIVISION','HILL-ROM-INC.','MEDTRONIC-SOFAMOR-DANEK-MANUFACTURING','DEPUY-RAYNHAM-A-DIVISION-OF-DEPUY-ORTHOPAEDICS-INC.','SOLTA-MEDICAL','ROCHE-INSULIN-DELIVERY-SYSTEMS-INC.','MEDTRONIC-IRELAND','UNKNOWN-MANUFACTURING-FACILITY','NEUROLOGICAL-DIV.-MEDTRONIC-INC','CARDIAC-PACEMAKERS-INC.-GUIDANT-PUERTO-RICO-B.V.','FRESENIUS-MEDICAL-CARE','ETHICON-ENDO-SURGERY','ABBOTT-VASCULAR---CARDIAC-THERAPIES','THE-ANSPACH-EFFORT','INTUITIVE-SURGICAL-INC.','MEDTRONIC-INC.-CARDIAC-RHYTHM-MANAGEMENT-DIVISION','POREX-SURGICAL','GENTEEL-HOMECARE-PRODUCTS','COOPERVISION-MANUFACTURING-LTD.','STRYKER-ENDOSCOPY-SAN-JOSE','SIEMENS-HEALTHCARE-DIAGNOSTICS','MEDTRONIC','SETO-FACTORY-OF-ASAHI-INTECC-CO.','APPLIED-MEDICAL-RESOURCES','ZIMMER-GMBH','MENTOR','SMITHS-MEDICAL-MD','MDT-PUERTO-RICO-OPERATIONS-CO','HAMILTON-BONADUZ-AG','ALCON-LABORATORIES-INC.','STAAR-SURGICAL-CO.','DAVOL-INC.-SUB.-C.R.-BARD-INC.','ZOLL-LIFECOR-CORPORATION','BAXTER-HEALTHCARE','EXACTECH-INC.','MEDTRONIC-MILACA-INC.','VOLCANO-CORPORATION','ABBOTT-VASCULAR-REDWOOD-CITY','BAUSCH-&-LOMB-INC.','BOSTON-SCIENTIFIC-CORPORATION','ZOLL-LIFECOR-CORP','NOVA-BIOMEDICAL-CORPORATION','BAXTER-HEALTHCARE-CORP.','BAYER-HEALTHCARE-LLC','ABBOTT-DIABETES-CARE-LIMITED-UK','GE-OEC-MEDICAL-SYSTEMS-INC','ABBOTT-MANUFACTURING-INC.','TRINITY-STERILE-INC.','BOSTON-SCIENTIFIC---MIAMI','DEPUY-WARSAW','ANGIOTECH-INTERVENTIONAL','DEPUY-MITEK','BECTON-DICKINSON','COOK-ENDOSCOPY','ADVANCED-STERILIZATION-PRODUCTS','ZOLL-CIRCULATION-INC.','ABBOTT-DIAGNOSTICS-DIVISION/CELLDYN','','MEDTRONIC-B.V.','MAQUET-GMBH-AND-CO.-KG','HOSPIRA-DE-COSTA-RICA-LTD','MDT-PUERTO-RICO-OPERATIONS-CO.-JUNCOS','GLOBAL-PHARMACOVIGILANCE-AND-EPIDEMIOLOGY/SANOFI-AVENTIS','STRYKER','OGDEN-MFG','INTERNATIONAL-TECHNIDYNE-CORP.','ST-JUDE-MEDICAL---NEUROMODULATION-DIV','ALCON---FORT-WORTH/ALCON-LABORATORIES-INC.','RESPIRONICS-INC.','PERCLOSE-INC','COVIDIEN-LP-(VALLEYLAB)','SIEMENS-HEALTHCARE-DIAGNOSTICS-INC.','CORNEAL','OTISMED-CORPORATION','FISHER-&-PAYKEL-HEALTHCARE-LTD','SYNTHES-(USA)','ZIMMER','DEPUY-INTL.-LTD.-?-REG.-#-8010379','CARDINAL-HEALTH-207-INC','1818910-DEPUY-ORTHOPAEDICS-INC.','PURITAN-BENNETT-CORP.','DEPUY-RAYNHAM'}
@ATTRIBUTE	device_operator	{'LAY-USER/PATIENT','0','HEALTH-PROFESSIONAL','OTHER','PHYSICIAN','OTHER-HEALTH-CARE-PROFESSIONAL','MEDICAL-TECHNOLOGIST','PATIENT','UNKNOWN','NOT-APPLICABLE','INVALID-DATA','MEDICAL-ASSISTANT','SERVICE-AND-TESTING-PERSONNEL',''}
@ATTRIBUTE	reporter_occupation_code	{'OTHER','LAY-USER/PATIENT','UNKNOWN','NOT-APPLICABLE','ATTORNEY','PHYSICIAN','HEALTH-PROFESSIONAL','NURSE','MEDICAL-EQUIPMENT-COMPANY-TECHNICIAN/REPRESENTATIVE','NO-INFORMATION','DENTIST','MEDICAL-TECHNOLOGIST','PHARMACIST','INVALID-DATA','OTHER-HEALTH-CARE-PROFESSIONAL','PATIENT','','MEDICAL-ASSISTANT','AUDIOLOGIST','BIOMEDICAL-ENGINEER','SERVICE-AND-TESTING-PERSONNEL','RISK-MANAGER'}
@ATTRIBUTE	device_report_product_code	{'OYC','NBW','LFR','FNL','LZG','MRM','FMF','KWA','NVZ','GEI','NIK','FFL','FPA','DWA','MHY','EPT','CBK','MKJ','KNS','?','ITI','LWS','MIH','DZE','HNN','LXH','MAF','FGE','CEM','FKX','FTD','DTB','FTL','NVY','LKK','JAA','KSZ','KWQ','GAM','LYJ','DXY','MLV','FZP','GDW','GKZ','NIQ','FRN','HCG','CFR','HQC','LFL','KDI','GEX','MHW','JJE','GCJ','LPH','KNW','GET','MFE','JTC','DYG','KRH','MGB','LGW','FDF','MDS','MCM','DQA','BSR','HBB','GCT','BTT','HTW','INN','GDO','INK','KWP','NJL','NKE','MMI','LNX','LOX','JOF','JDI','HWE','ITJ','LPL','FCW','JLW','FMK','DQX','KNY','HRS','HQE','HQL','MVK','JWH','DTE','DQO','LYL','MDM','KWB','EZW','FOZ','MSD','MBI','MND','MLR','DRM','OJX','NVN','FQO','LMH','KDJ','GKP','DYB','LPN','CHP','HWT','NQW','HWC','LDD','BZR'}
@ATTRIBUTE	expired	{TRUE,FALSE}
@ATTRIBUTE	class	{'Death','Injury','Malfunction','Other','No answer provided'}

@DATA
'MEDTRONIC-PUERTO-RICO-OPERATIONS-CO.','LAY-USER/PATIENT','OTHER','OYC',FALSE,'Malfunction'
'LIFESCAN-INC.','LAY-USER/PATIENT','LAY-USER/PATIENT','NBW',FALSE,'Malfunction'
'ABBOTT-DIABETES-CARE-INC.','LAY-USER/PATIENT','UNKNOWN','LFR',FALSE,'Malfunction'
'HILL-ROM-RITTER','0','OTHER','FNL',FALSE,'Malfunction'
'ANIMAS-CORP.','LAY-USER/PATIENT','UNKNOWN','LZG',FALSE,'Malfunction'
'BIOTRONIK-SE-&-CO.-KG','HEALTH-PROFESSIONAL','NOT-APPLICABLE','MRM',FALSE,'Death'
'ELI-LILLY-AND-CO.','OTHER','NOT-APPLICABLE','FMF',FALSE,'Injury'
'DEPUY-INTERNATIONAL','HEALTH-PROFESSIONAL','ATTORNEY','KWA',FALSE,'Injury'
'SORIN-CRM-S.R.L.','HEALTH-PROFESSIONAL','PHYSICIAN','NVZ',FALSE,'Injury'
'ETHICON-ENDO-SURGERY-INC.(CINCINNATI)','HEALTH-PROFESSIONAL','OTHER','GEI',FALSE,'Malfunction'
'CARDIAC-PACEMAKERS','HEALTH-PROFESSIONAL','LAY-USER/PATIENT','NIK',FALSE,'Malfunction'
'BOSTON-SCIENTIFIC---SPENCER','PHYSICIAN','HEALTH-PROFESSIONAL','FFL',FALSE,'Malfunction'
'BAXTER-HEALTHCARE---SINGAPORE','0','NURSE','FPA',FALSE,'Malfunction'
'TERUMO-CARDIOVASCULAR-SYSTEMS-CORP.','HEALTH-PROFESSIONAL','OTHER','DWA',FALSE,'Malfunction'
'MEDTRONIC-PUERTO-RICO-OPERATIONS-CO.','HEALTH-PROFESSIONAL','OTHER','MHY',FALSE,'Malfunction'
'CARL-ZEISS-SURGICAL-GMBH','HEALTH-PROFESSIONAL','PHYSICIAN','EPT',FALSE,'Other'
'HILL-ROM-INC','OTHER','OTHER','FNL',FALSE,'Malfunction'
'IMPACT-INSTRUMENTATION-INC.','HEALTH-PROFESSIONAL','OTHER','CBK',FALSE,'Other'
'ZOLL-MEDICAL-CORPORATION','OTHER','NOT-APPLICABLE','MKJ',FALSE,'Malfunction'
'MPROC-VILLALBA','HEALTH-PROFESSIONAL','PHYSICIAN','KNS',FALSE,'Malfunction'
'BIOENTERICS-CORP','HEALTH-PROFESSIONAL','PHYSICIAN','?',FALSE,'Malfunction'
'INVACARE-TAYLOR-STREET','LAY-USER/PATIENT','MEDICAL-EQUIPMENT-COMPANY-TECHNICIAN/REPRESENTATIVE','ITI',FALSE,'Malfunction'
'MEDTRONIC-PUERTO-RICO-INC.','LAY-USER/PATIENT','PHYSICIAN','LWS',FALSE,'Injury'
'ABBOTT-DIABETES-CARE-INC.','LAY-USER/PATIENT','NO-INFORMATION','LFR',FALSE,'Malfunction'
'MEDTRONIC-MED-REL-INC.','LAY-USER/PATIENT','MEDICAL-EQUIPMENT-COMPANY-TECHNICIAN/REPRESENTATIVE','NIK',FALSE,'Injury'
'COOK-INC.','HEALTH-PROFESSIONAL','PHYSICIAN','MIH',FALSE,'Injury'
'BIOHORIZONS-IMPLANT-SYSTEMS-INC.','HEALTH-PROFESSIONAL','DENTIST','DZE',FALSE,'Injury'
'GUIDANT-CRM-CLONMEL-IRELAND','LAY-USER/PATIENT','OTHER','LWS',TRUE,'Injury'
'ALCON-PRECISION-DEVICE---SINKING-SPRING','HEALTH-PROFESSIONAL','OTHER','HNN',FALSE,'Malfunction'
'STRYKER-OSTEOSYNTHESIS-SELZACH','HEALTH-PROFESSIONAL','PHYSICIAN','LXH',FALSE,'Malfunction'
'HILL-ROM-RITTER','HEALTH-PROFESSIONAL','OTHER','FNL',FALSE,'Malfunction'
'ABBOTT-DIABETES-CARE-INC-USA','LAY-USER/PATIENT','NO-INFORMATION','LFR',FALSE,'Malfunction'
'DISETRONIC-MEDICAL-SYSTEMS-INC.','LAY-USER/PATIENT','UNKNOWN','FPA',FALSE,'Injury'
'BOSTON-SCIENTIFIC','HEALTH-PROFESSIONAL','PHYSICIAN','MAF',FALSE,'Injury'
'LIFESCAN-INC.','LAY-USER/PATIENT','LAY-USER/PATIENT','NBW',FALSE,'Malfunction'
'IDEV-TECHNOLOGIES-INC.','HEALTH-PROFESSIONAL','PHYSICIAN','FGE',FALSE,'Malfunction'
'ABBOTT-DIABETES-CARE-INC.-USA','OTHER','NO-INFORMATION','LFR',FALSE,'Malfunction'
'ROCHE-DIAGNOSTICS','OTHER','MEDICAL-TECHNOLOGIST','CEM',FALSE,'Malfunction'
'BOSTON-SCIENTIFIC---MARLBOROUGH','PHYSICIAN','PHARMACIST','GEI',FALSE,'Malfunction'
'ROCHE-DIAGNOSTICS','LAY-USER/PATIENT','UNKNOWN','LFR',FALSE,'Injury'
'BAXTER-HEALTHCARE---MOUNTAIN-HOME','LAY-USER/PATIENT','OTHER','FKX',FALSE,'Malfunction'
'ANIMAS-CORPORATION','LAY-USER/PATIENT','OTHER','LZG',FALSE,'Malfunction'
'ANIMAS-CORPORATION','LAY-USER/PATIENT','OTHER','LZG',FALSE,'Malfunction'
'BOSTON-SCIENTIFIC---MAPLE-GROVE','HEALTH-PROFESSIONAL','PHYSICIAN','MAF',FALSE,'Injury'
'LIFESCAN-INC.','LAY-USER/PATIENT','LAY-USER/PATIENT','NBW',FALSE,'Injury'
'PHILIPS-MEDICAL-SYSTEMS','HEALTH-PROFESSIONAL','UNKNOWN','MKJ',FALSE,'Malfunction'
'STERIS-CORPORATION---MONTGOMERY','HEALTH-PROFESSIONAL','OTHER','FTD',FALSE,'Malfunction'
'MEDTRONIC-PUERTO-RICO-INC.','LAY-USER/PATIENT','PHYSICIAN','DTB',FALSE,'Injury'
'COOK-BIOTECH-INC.','OTHER','NOT-APPLICABLE','FTL',FALSE,'Injury'
'CPI---DEL-CARIBE','LAY-USER/PATIENT','MEDICAL-EQUIPMENT-COMPANY-TECHNICIAN/REPRESENTATIVE','NVY',TRUE,'Injury'
'MEDTRONIC-PUERTO-RICO-INC.','LAY-USER/PATIENT','INVALID-DATA','DTB',FALSE,'Malfunction'
'ST-JUDE-MEDICAL-CARDIAC-RHYTHM-MANAGEMENT-DIVISION','OTHER-HEALTH-CARE-PROFESSIONAL','OTHER-HEALTH-CARE-PROFESSIONAL','NVY',TRUE,'Injury'
'MEDTRONIC-NEUROMODULATION','HEALTH-PROFESSIONAL','OTHER','LKK',FALSE,'Injury'
'GE-OEC-MEDICAL-SYSTEMS-(SLC)','HEALTH-PROFESSIONAL','OTHER','JAA',FALSE,'Malfunction'
'IMMUCOR','MEDICAL-TECHNOLOGIST','MEDICAL-TECHNOLOGIST','KSZ',FALSE,'Malfunction'
'STRYKER-SPINE-BORDEAUX','HEALTH-PROFESSIONAL','OTHER','KWQ',FALSE,'Malfunction'
'ABBOTT-DIABETES-CARE-INC-USA','PATIENT','OTHER','LFR',FALSE,'Malfunction'
'ETHICON-INC.','HEALTH-PROFESSIONAL','NURSE','GAM',FALSE,'Malfunction'
'CYBERONICS-INC.','LAY-USER/PATIENT','PHYSICIAN','LYJ',TRUE,'Malfunction'
'MEDTRONIC-PUERTO-RICO-INC.','LAY-USER/PATIENT','PHYSICIAN','LWS',FALSE,'Injury'
'PHILIPS-MEDICAL-SYSTEMS','HEALTH-PROFESSIONAL','UNKNOWN','MKJ',FALSE,'Malfunction'
'CARDIAC-PACEMAKERS-INC','UNKNOWN','PHYSICIAN','DXY',FALSE,'Malfunction'
'HILL-ROM-RITTER','0','OTHER','FNL',FALSE,'Malfunction'
'W.L.-GORE-&-ASSOCIATES','HEALTH-PROFESSIONAL','PHYSICIAN','MLV',FALSE,'Injury'
'BAXTER-HEALTHCARE---MOUNTAIN-HOME','LAY-USER/PATIENT','OTHER','FKX',FALSE,'Malfunction'
'ETHICON-ENDO-SURGERY-LLC.','HEALTH-PROFESSIONAL','OTHER','FZP',FALSE,'Malfunction'
'ETHICON-ENDO-SURGERY-INC.(CINCINNATI)','HEALTH-PROFESSIONAL','PHYSICIAN','GDW',FALSE,'Malfunction'
'BECKMAN-COULTER-INC.','HEALTH-PROFESSIONAL','OTHER','GKZ',FALSE,'Other'
'MEDTRONIC-MINIMED','LAY-USER/PATIENT','OTHER','FMF',FALSE,'Malfunction'
'BOSTON-SCIENTIFIC','HEALTH-PROFESSIONAL','PHYSICIAN','NIQ',FALSE,'Malfunction'
'WELCH-ALLYN-PROTOCOL-INC.','OTHER','NOT-APPLICABLE','MKJ',FALSE,'Malfunction'
'HOSPIRA-INC.','HEALTH-PROFESSIONAL','OTHER','FRN',FALSE,'Malfunction'
'BOSTON-SCIENTIFIC','HEALTH-PROFESSIONAL','UNKNOWN','NIQ',FALSE,'Malfunction'
'ABBOTT-DIABETES-CARE-INC.-USA','LAY-USER/PATIENT','OTHER','LFR',FALSE,'Malfunction'
'CODMAN-AND-SHURTLEFF-INC','HEALTH-PROFESSIONAL','OTHER','HCG',FALSE,'Injury'
'MEDTRONIC-MED-REL-INC.','LAY-USER/PATIENT','PHYSICIAN','DXY',FALSE,'Injury'
'ROCHE-DIAGNOSTICS-CORP.','HEALTH-PROFESSIONAL','OTHER','CFR',FALSE,'Injury'
'LIFESCAN-EUROPE-A-DIVISION-OF-CILAG-GMBH-INTL','LAY-USER/PATIENT','OTHER','NBW',FALSE,'Malfunction'
'BOSTON-SCIENTIFIC---MAPLE-GROVE','HEALTH-PROFESSIONAL','PHYSICIAN','MAF',FALSE,'Malfunction'
